"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"fLiH70jk","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","fLiH70jk",1894,374836,1592,0.00424719077143071,"Neutrophils"
"G5g7Qe20","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","G5g7Qe20",1972,345890,1763,0.00509699615484692,"Neutrophils"
"gGHvzGHc","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","gGHvzGHc",2259,289226,1660,0.00573945634209926,"Neutrophils"
"GRXNYihq","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","GRXNYihq",4024,633870,8925,0.0140801741682048,"Neutrophils"
"GWGhE6QO","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","GWGhE6QO",2917,415646,2273,0.00546859587244915,"Neutrophils"
"Gxdn9R4q","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Gxdn9R4q",3782,331474,3352,0.010112407006281,"Neutrophils"
"Ha7PGDMI","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Ha7PGDMI",2267,319208,1675,0.00524736222149821,"Neutrophils"
"HA9ARLUc","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","HA9ARLUc",2405,196220,1639,0.00835286922841708,"Neutrophils"
"hcUNeBfk","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","hcUNeBfk",2707,251627,1528,0.00607248029821919,"Neutrophils"
"HdAAuzIt","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","HdAAuzIt",5316,539387,8735,0.0161943094661162,"Macrophages"
"hGdG9kOG","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","hGdG9kOG",1390,91585,552,0.00602718785827373,"Neutrophils"
"HNI0bScl","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","HNI0bScl",4850,336767,6484,0.0192536679662794,"Macrophages"
"hukiiKvi","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","hukiiKvi",2373,399082,2086,0.00522699595571837,"Neutrophils"
"ibvoGDCT","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","ibvoGDCT",1053,40520,791,0.0195212240868707,"Neutrophils"
"IdWnxj5K","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","IdWnxj5K",2779,296031,2116,0.00714790005100817,"Neutrophils"
"IKlRKGs5","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","IKlRKGs5",4356,312312,2081,0.00666320858628551,"Neutrophils"
"iqG2Fjj8","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","iqG2Fjj8",1572,153725,1332,0.00866482354854448,"Neutrophils"
"iTYYjDas","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","iTYYjDas",2286,202140,2200,0.0108835460571881,"Neutrophils"
"j0c66agF","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","j0c66agF",2729,244472,1128,0.00461402532805393,"Neutrophils"
"jDGOaMMA","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","jDGOaMMA",5410,509498,6894,0.0135309657741542,"Neutrophils"
"JXYMrT0d","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","JXYMrT0d",3755,361599,3726,0.0103042320360399,"Neutrophils"
"JYaTeY6h","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","JYaTeY6h",2363,339082,2115,0.00623742929438897,"Neutrophils"
"K3ujGkSy","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","K3ujGkSy",3794,357214,3550,0.00993802034634701,"Neutrophils"
"knUaSm6d","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","knUaSm6d",2523,352245,1887,0.00535706681429119,"Neutrophils"
"LAODy30W","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","LAODy30W",2651,229258,1066,0.00464978321367193,"Neutrophils"
"LAqCtfCD","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","LAqCtfCD",2700,402513,15055,0.0374025186764154,"B cells"
"lC0ZZGdA","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","lC0ZZGdA",2544,258185,1589,0.00615450161705754,"Neutrophils"
"LycbfItV","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","LycbfItV",5815,1047249,18576,0.0177379018743393,"Neutrophils"
"M0k8n69d","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","M0k8n69d",1915,396839,1468,0.00369923319028624,"Neutrophils"
"mK675rW8","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","mK675rW8",2360,425452,1864,0.00438122279364065,"Neutrophils"
"mp0G4cw4","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","mp0G4cw4",2216,170935,3069,0.0179541931143417,"Neutrophils"
"MRAeRhMU","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","MRAeRhMU",3805,383900,4178,0.0108830424589737,"Neutrophils"
"mWQCQyxO","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","mWQCQyxO",2616,307141,2809,0.00914563669454745,"Neutrophils"
"mXbBTtLb","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","mXbBTtLb",3620,527224,15968,0.0302869368617514,"B cells"
"MyOTwW9O","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","MyOTwW9O",4983,623710,11988,0.0192204710522518,"Macrophages"
"n27648A6","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","n27648A6",1241,100198,462,0.00461087047645662,"Neutrophils"
"nA31Eare","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","nA31Eare",2360,222155,2001,0.00900722468546735,"Neutrophils"
"nHNibU0R","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","nHNibU0R",4494,324743,3591,0.0110579750756752,"Neutrophils"
"NJUUNqmr","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","NJUUNqmr",3594,693216,5635,0.00812877948575913,"Neutrophils"
"nLSHno5M","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","nLSHno5M",1760,283408,1630,0.00575142550669,"Neutrophils"
"NPkpKvch","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","NPkpKvch",2046,168101,1161,0.00690656212634071,"Neutrophils"
"nT14VVgX","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","nT14VVgX",2072,370984,1652,0.00445302223276476,"Neutrophils"
