"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"pc5Zjs2V","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","pc5Zjs2V",4710,515119,15150,0.0294106798623231,"Epithelial cells"
"PeFvd0y7","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","PeFvd0y7",3547,414066,4861,0.0117396743514319,"Fibroblasts"
"Pth9SvWT","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Pth9SvWT",3249,198286,3353,0.0169099179972363,"Fibroblasts"
"Pxntrd9g","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Pxntrd9g",4533,848349,19630,0.0231390618719419,"Epithelial cells"
"q2G6AT3u","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","q2G6AT3u",3051,371573,8995,0.0242078945456209,"Fibroblasts"
"QCH20Uwr","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","QCH20Uwr",3562,432664,5222,0.0120694118299651,"Fibroblasts"
"qi11DhQ0","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","qi11DhQ0",3814,309324,5117,0.0165425249899781,"Fibroblasts"
"qMH3qDeK","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","qMH3qDeK",2584,226440,962,0.0042483660130719,"Urothelial cells"
"rMnGYstP","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","rMnGYstP",2960,324480,9732,0.0299926035502959,"Fibroblasts"
"rt1lXwyt","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","rt1lXwyt",4779,726962,25341,0.0348587684088027,"Urothelial cells"
"Sk3QRPJ1","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Sk3QRPJ1",5165,452864,9872,0.0217990390050876,"Urothelial cells"
"SvMSSnh7","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","SvMSSnh7",5422,312409,8790,0.0281361932594772,"Urothelial cells"
"Sy2HDXrG","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Sy2HDXrG",5428,627370,17338,0.0276360042718013,"Urothelial cells"
"t0q8L2OJ","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","t0q8L2OJ",3432,230106,4782,0.0207817266824855,"Fibroblasts"
"tREXDRiX","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","tREXDRiX",3702,220738,3862,0.0174958548143047,"Fibroblasts"
"TXla9F4r","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","TXla9F4r",3779,388225,7212,0.0185768562045206,"Fibroblasts"
"Tycd1pgV","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","Tycd1pgV",2813,272545,6763,0.0248142508576565,"Fibroblasts"
"TZP9ZhWK","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","TZP9ZhWK",5115,394196,11977,0.0303833625911983,"Urothelial cells"
"u6Oeozdf","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","u6Oeozdf",3338,101508,1268,0.0124916262757615,"Fibroblasts"
"uEe209rp","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","uEe209rp",4751,402396,16915,0.0420357061203392,"Urothelial cells"
