"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"4HAGjjwF","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","4HAGjjwF",2044,446764,12378,0.0277059028928025,"Endothelial cells"
"6MjXGRT0","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","6MjXGRT0",2045,379280,8150,0.0214880826829783,"Endothelial cells"
"7b1qNdrt","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","7b1qNdrt",3060,315995,5019,0.0158831627082707,"Fibroblasts"
"8v3wSZgt","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","8v3wSZgt",1522,136550,2785,0.0203954595386305,"Endothelial cells"
"9oH0Jl7M","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","9oH0Jl7M",2866,348113,9493,0.0272698807571105,"Fibroblasts"
"9yV4Jrsb","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","9yV4Jrsb",3481,401027,6577,0.0164003919935565,"Fibroblasts"
"A0cSOBIa","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","A0cSOBIa",3256,323163,6710,0.0207635156252418,"Fibroblasts"
"BS7ctfS4","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","BS7ctfS4",1407,146784,2826,0.0192527795945062,"Endothelial cells"
"c66K3FJH","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","c66K3FJH",2985,429857,7704,0.0179222392563108,"Fibroblasts"
"c9pPCtwA","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","c9pPCtwA",3065,186735,2476,0.0132594318151391,"Fibroblasts"
"ERaty0st","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ERaty0st",1502,145481,2971,0.0204219107649796,"Endothelial cells"
"f4gIOePT","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","f4gIOePT",3108,175866,2271,0.0129132407628535,"Fibroblasts"
"fb6MpgGG","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","fb6MpgGG",1600,134152,1159,0.00863945375395074,"Endothelial cells"
"FHwDevoz","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","FHwDevoz",2406,605922,12458,0.0205604021639749,"Endothelial cells"
"Gy2vUJX2","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","Gy2vUJX2",2029,398291,8809,0.0221169948605417,"Endothelial cells"
"hG45jYk5","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","hG45jYk5",2986,393779,6776,0.0172076215339061,"Fibroblasts"
"IAkN5WgZ","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","IAkN5WgZ",1872,296293,3113,0.0105064918847222,"Endothelial cells"
"ioOEBpQC","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ioOEBpQC",2267,448577,8523,0.019000082483052,"Endothelial cells"
"ivkUIE7D","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ivkUIE7D",2785,273146,4841,0.0177231224326917,"Fibroblasts"
"jiUfQ2F2","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","jiUfQ2F2",3451,358500,5871,0.0163765690376569,"Fibroblasts"
"KEpqeyZb","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","KEpqeyZb",2411,598744,8944,0.0149379367475916,"Endothelial cells"
"kjNAXEeT","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","kjNAXEeT",1630,58114,3624,0.0623601885948308,"Myoblasts"
"KzSZZuG3","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","KzSZZuG3",872,74737,2601,0.0348020391506215,"Endothelial cells"
"l7PEY8Jy","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","l7PEY8Jy",2160,250439,10072,0.0402173782837338,"Fibroblasts"
"lfg3kMa7","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","lfg3kMa7",1391,155733,3147,0.0202076631157173,"Endothelial cells"
"MmwmttnA","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","MmwmttnA",3284,346406,7276,0.0210042551226018,"Fibroblasts"
"nZqu7hGD","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","nZqu7hGD",2148,261895,10495,0.0400733118234407,"Fibroblasts"
"o37cP6JK","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","o37cP6JK",3061,339445,5605,0.0165122479341278,"Fibroblasts"
"oCptTt2a","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","oCptTt2a",907,70784,2429,0.034315664556962,"Endothelial cells"
"Oi43QIyA","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","Oi43QIyA",2373,561649,11535,0.0205377379822629,"Endothelial cells"
"Q9sObzlX","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","Q9sObzlX",1502,152963,1653,0.0108065349136719,"Endothelial cells"
"RPXqYnTd","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","RPXqYnTd",3632,442901,6861,0.0154910465318435,"Fibroblasts"
"RrcadUpT","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","RrcadUpT",1893,273896,3651,0.0133298770336186,"Endothelial cells"
"secjOCVP","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","secjOCVP",2883,327821,8750,0.0266913956091892,"Fibroblasts"
"spQ3FeBJ","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","spQ3FeBJ",3612,464469,7573,0.0163046403527469,"Fibroblasts"
"UTnuNCvA","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","UTnuNCvA",1768,165278,1507,0.00911797093382059,"Endothelial cells"
"UvppoLHv","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","UvppoLHv",1662,66671,4295,0.0644208126471779,"Myoblasts"
"wQtGfTyX","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","wQtGfTyX",1575,141794,1352,0.00953495916611422,"Endothelial cells"
"XMjRZqHH","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","XMjRZqHH",1685,62381,3865,0.0619579679710168,"Myoblasts"
"xRscvmAh","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","xRscvmAh",2074,423859,11243,0.026525330357501,"Endothelial cells"
"xSYSVgDX","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","xSYSVgDX",2221,427439,7949,0.0185968056260659,"Endothelial cells"
"y03XTq8j","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","y03XTq8j",2805,250290,4451,0.0177833712893044,"Fibroblasts"
"yDJT1B4u","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","yDJT1B4u",1997,76976,3923,0.0509639368114737,"Myoblasts"
"YSIbSqdU","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","YSIbSqdU",1760,178060,1643,0.00922722677749073,"Endothelial cells"
"ZSzPAzHd","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ZSzPAzHd",2411,558897,8349,0.0149383517893279,"Endothelial cells"
"15o6xq7b","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","15o6xq7b",1185,93343,451,0.00483164243703331,"Endothelial cells"
"1C5c1LSI","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","1C5c1LSI",1751,44589,1018,0.0228307430083653,"B cells"
"1oxRjh0S","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","1oxRjh0S",2484,65870,2288,0.0347350842568696,"T memory cells"
"2Ga5wlup","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","2Ga5wlup",1375,184512,1877,0.0101727800901838,"Endothelial cells"
"3R9n1izS","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","3R9n1izS",1956,135600,5559,0.0409955752212389,"T memory cells"
"3Xo1w1YQ","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","3Xo1w1YQ",1970,144159,6098,0.0423005154031313,"T memory cells"
"4imRs6Wf","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","4imRs6Wf",1858,291563,3508,0.0120317049831426,"Endothelial cells"
"6CrRrORO","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","6CrRrORO",3448,1116387,13707,0.0122780003708391,"Macrophages"
"76ceButC","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","76ceButC",1477,30136,876,0.0290682240509689,"B cells"
"7m3Bq7Jb","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","7m3Bq7Jb",1987,60124,1805,0.0300212893353736,"B cells"
"9O60GJdW","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","9O60GJdW",1974,63136,1945,0.0308065129244805,"B cells"
"a6XnvR7V","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","a6XnvR7V",2425,165409,7392,0.0446892248910277,"Myoblasts"
"bnDFQNoU","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","bnDFQNoU",1532,340565,3623,0.0106382041607329,"Endothelial cells"
"btsNSuE9","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","btsNSuE9",3342,230667,3644,0.015797665032276,"Macrophages"
"cj23bxD8","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","cj23bxD8",1759,47117,1060,0.0224971878515186,"B cells"
"cL7zVaao","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","cL7zVaao",1425,152534,5887,0.038594673974327,"Endothelial cells"
"DOr5wjz1","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","DOr5wjz1",1745,122913,4007,0.0326002945172602,"T memory cells"
"dr3iu5eg","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","dr3iu5eg",2738,657324,11511,0.0175119119338408,"Macrophages"
"DWmClZQu","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","DWmClZQu",1857,138356,6269,0.0453106478938391,"B cells"
"Fj6EAE8F","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","Fj6EAE8F",1857,301519,3759,0.0124668760509288,"Endothelial cells"
"gXRzFmm2","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","gXRzFmm2",1843,35940,1399,0.0389259877573734,"B cells"
"hqxKCbkC","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","hqxKCbkC",1162,217807,4618,0.0212022570440803,"Endothelial cells"
"IqvTaSZc","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","IqvTaSZc",2240,148416,8531,0.057480325571367,"Myoblasts"
"J64wkfht","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","J64wkfht",1792,37415,1454,0.0388614192168916,"B cells"
"kYpLJUqy","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","kYpLJUqy",2462,182872,8229,0.044998687606632,"Myoblasts"
"oefiMWle","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","oefiMWle",1905,277156,2805,0.0101206540720749,"Endothelial cells"
"OSgGYtXL","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","OSgGYtXL",1995,254434,7055,0.0277282124244401,"T cells"
"p8YpMq7z","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","p8YpMq7z",2230,140052,7823,0.0558578242367121,"Myoblasts"
"PXVosmXD","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","PXVosmXD",1872,130055,5791,0.0445273153665757,"B cells"
"PZXfNRKZ","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","PZXfNRKZ",1346,194161,1958,0.010084414480766,"Endothelial cells"
