"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"tKOFyGlP","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","tKOFyGlP",2539,706312,9934,0.0140646060098087,"Fibroblasts"
"Tu2I76Jl","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","Tu2I76Jl",1793,538550,9614,0.0178516386593631,"Endothelial cells"
"tVKpNbAP","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","tVKpNbAP",2640,321226,6428,0.0200108334941754,"Alveolar macrophages"
"U2DQ26yb","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","U2DQ26yb",3691,700035,21864,0.0312327240780818,"Pulmonary alveolar type II cells"
"uH9Geca9","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","uH9Geca9",2838,653587,11574,0.0177084305532393,"Macrophages"
"uU81VkR0","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","uU81VkR0",1759,1777127,5046,0.00283941440313495,"Fibroblasts"
"UzJulyO3","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","UzJulyO3",2074,1240510,7765,0.00625952229325036,"Fibroblasts"
"V2XA88Y5","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","V2XA88Y5",1876,935162,3965,0.00423990709631059,"Fibroblasts"
"v4B6lOt5","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","v4B6lOt5",2058,529659,5986,0.0113016110365348,"NK cells"
"vDjH6I04","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","vDjH6I04",2305,486062,7078,0.0145619283136719,"Fibroblasts"
"vEgLvBjJ","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","vEgLvBjJ",1162,278084,1985,0.00713813092446887,"Neutrophils"
"vyHLc4eh","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","vyHLc4eh",3151,833964,25268,0.0302986699665693,"Pulmonary alveolar type II cells"
"W31HjmhO","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","W31HjmhO",2924,1034559,10322,0.00997719801383971,"Macrophages"
